Enzyme	Molecular-Weight-KiloDaltons	Names
ENTD-MONOMER	23.259	entD // b0583 // ECK0575
HOLO-ACP-SYNTH-CPLX		acpS // dpj // b2563 // ECK2561
EG12221-MONOMER	21.768 // 21.8	acpT // yhhU // b3475 // ECK3459
PHOSPHASERSYN-MONOMER	52.802 // 54.0	pssA // pss // b2585 // ECK2583
PEPSYNTH-CPLX	150.0	ppsA // pps // b1702 // ECK1700
CPLX0-7957		selD // fdhB // b1764 // ECK1762
CPLX-3942	55.0	tusB // yheL // b3343 // ECK3330 // tusC // yheM // b3344 // ECK3331 // tusD // yheN // b3345 // ECK3332
CPLX0-242	22.5	glpE // b3425 // ECK3411
CPLX0-8175	68.7	fdhD // b3895 // ECK3888
EG12216-MONOMER	9.095	tusA // yhhP // sirA // b3470 // ECK3454
EG12876-MONOMER	12.41	tusE // yccK // b0969 // ECK0960
CPLX0-8124		ttcA // ydaO // b1344 // ECK1341
EG10780-MONOMER	11.475 // 14.0	pspE // b1308 // ECK1303
CPLX0-8219		ygaP // b2668 // ECK2662
THIG-MONOMER	26.896 // 26.9	thiG // thiB // b3991 // ECK3982
G6952-MONOMER	48.229	ynjE // b1757 // ECK1755
CPLX0-2502		moaD // chlA4 // chlM // b0784 // ECK0773 // moaE // chlA5 // b0785 // ECK0774
EG11344-MONOMER	40.959 // 45.0	mnmA // asuE // ycfB // trmU // b1133 // ECK1119
EG11600-MONOMER	30.812 // 31.0	sseA // mstA // b2521 // ECK2517
THII-MONOMER	54.973 // 55.0	thiI // nuvA // yajK // b0423 // ECK0417
BIOTIN-SYN-CPLX	82.0	bioB // b0775 // ECK0764
CPLX0-248		iscS // nuvC // yzzO // yfhO // b2530 // ECK2527
CPLX0-246	88.0	sufS // csdB // ynhB // b1680 // ECK1676
CPLX0-782	84.6	lipA // lip // b0628 // ECK0621
G7517-MONOMER	53.824	scpC // ygfH // b2920 // ECK2916
CPLX0-1142		frc // yfdW // b2374 // ECK2370
CPLX0-8032		yfdE // b2371 // ECK2367
CARNDEHYDRA-CPLX		caiB // yaaN // b0038 // ECK0039
ACECOATRANS-MONOMER		
ACETOACETYL-COA-TRANSFER-CPLX	97.0	atoA // b2222 // ECK2215 // atoD // b2221 // ECK2214
EG12432-MONOMER	57.562	ydiF // b1694 // ECK1692
G6364-MONOMER	53.663	miaB // yleA // b0661 // ECK0653
G6435-MONOMER	49.582 // 50.0	rimO // yliG // b0835 // ECK0825
CPLX0-1141	500.0	selA // fdhA // b3591 // ECK3580
EG11768-MONOMER	41.111	selU // ybbB // mnmH // b0503 // ECK0496
CPLX0-7848	256.0	ulaG // yjfR // b4192 // ECK4188
GLUCONOLACT-MONOMER		
CPLX0-7758		ymdB // b1045 // ECK1031
EG10299-MONOMER	45.652 // 44.0 // 43.0	fes // b0585 // ECK0577
EG10785-MONOMER	21.082 // 21.0	pth // rap // b1204 // ECK1192
EG12354-MONOMER	15.623	arfB // yaeJ // b0191 // ECK0191
6PGLUCONOLACT-MONOMER	36.308	pgl // ybhE // b0767 // ECK0756
CPLX0-7944		pldA // b3821 // ECK3815
EG10739-MONOMER	38.978 // 38.5	pldB // b3825 // ECK3819
G7919-MONOMER	36.878	nanS // yjhS // b4309 // ECK4300
CPLX0-8214		yjfP // b4190 // ECK4186
CPLX0-8033		aes // ybaC // b0476 // ECK0470
PHOSPHO-CHEB	37.467663	cheB // b1883 // ECK1884
EG10122-MONOMER	28.505	bioH // bioB // b3412 // ECK3399
CPLX0-3581	35.0	dtd // yihZ // b3887 // ECK3880
EG10746-MONOMER	103.118	polA // resA // b3863 // ECK3855
EG10747-MONOMER	90.052	polB // dinA // b0060 // ECK0061
EG10243-MONOMER	27.099	dnaQ // mutD // b0215 // ECK0215
EG10827-MONOMER	96.368	recE // rmuB // rac // sbcA // b1350 // ECK1347
EG10926-MONOMER	54.501 // 53.7	sbcB // exoI // rmuA // cpeA // xonA // b2011 // ECK2005
G7525-MONOMER	15.186 // 17.0	yqgF // b2949 // ECK2944
G7649-MONOMER	11.27	yhbQ // b3155 // ECK3143
EG10830-MONOMER	63.389 // 60.0	recJ // b2892 // ECK2887
CPLX-3946	88.0	xseA // xse // b2509 // ECK2505 // xseB // yajE // b0422 // ECK0416
EG11481-MONOMER	28.974 // 33.8	tatD // b3841 // yigX // b3840 // mttC // yigW // b4483 // ECK3833
EG11259-MONOMER	92.109 // 95.0	rnr // vacB // yjeC // b4179 // ECK4175
CPLX0-3521		pnp // bfl // b3164 // ECK3152
EG11620-MONOMER	72.491 // 78.0	rnb // b1286 // ECK1281
CPLX0-1821	40.0	orn // yjeR // b4162 // ECK4158
CPLX0-3602	50.0	rnt // b1652 // ECK1648
EG10858-MONOMER	42.734 // 40.0	rnd // b1804 // ECK1802
G6244-MONOMER	15.088	fadM // ybaW // tesC // b0443 // ECK0437
CPLX0-7766	54.4	entH // ybdB // b0597 // ECK0590
CPLX0-3941	58.0	paaI // ydbV // b1396 // ECK1393
CPLX0-8127		paaY // ydbZ // b1400 // ECK1397
G6208-MONOMER	31.424	frmB // yaiM // b0355 // ECK0352
CPLX0-3954	121.2	yeiG // b2154 // ECK2147
CPLX0-7630	122.0	tesA // apeA // pldC // b0494 // ECK0488
EG11121-MONOMER	14.231	yciA // b1253 // ECK1247
THIOESTERII-CPLX	123.0	tesB // b0452 // ECK0446
CPLX0-8128		menI // ydiI // b1686 // ECK1683
GLYOXII-MONOMER	28.434 // 28.4	gloB // yafR // b0212 // ECK0212
G6475-MONOMER	23.784	gloC // ycbL // b0927 // ECK0918
RUVABC-CPLX		ruvC // b1863 // ECK1864 // ruvB // b1860 // ECK1861 // ruvA // b1861 // ECK1862
EG10573-MONOMER	31.39	mcrA // rglA // b1159 // ECK1145
EG11073-MONOMER	30.969	xthA // xth // b1749 // ECK1747
EG10651-MONOMER	31.479 // 31.0	nfo // b2159 // ECK2152
EG11336-MONOMER	26.709 // 25.0	endA // b2945 // ECK2940
CPLX0-3958		hsdM // hsm // hsp // b4349 // ECK4339 // hsdR // hsr // b4350 // ECK4340 // hsdS // hss // rm // b4348 // ECK4338
EG11915-MONOMER	24.673 // 25.0	nfi // yjaF // b3998 // ECK3990
CPLX0-2661	720.0	mcrB // rglB // b4346 // ECK4336 // mcrC // b4345 // ECK4335
UVRABC-CPLX		uvrB // dar-1 // dar-6 // b0779 // ECK0768 // uvrC // b1913 // ECK1912 // uvrA // dar // dinE // b4058 // ECK4050
G7830-MONOMER	11.468	ghoS // yjdK // b4128 // ECK4121
G7572-MONOMER	11.232	mqsR // ygiU // b3022 // ECK3013
G6109-MONOMER	10.847	yafQ // b0225 // ECK0226
G7602-MONOMER	12.103	higB // ygjN // b3083 // ECK3073
EG11131-MONOMER	11.225	relE // b1563 // ECK1557
G6117-MONOMER	15.488	yafO // b0233 // ECK0234
CPLX0-8095	78.0	rnlA // yfjN // std // b2630 // ECK2626
G7629-MONOMER	17.836	yhaV // b3130 // ECK3118
CPLX0-3601	70.0	rbn // zipD // ecoZ // rnz // elaC // b2268 // ECK2262
CPLX0-1621		rng // adhR // cafA // yhdF // b3247 // ECK3235
CPLX0-3461		rne // smbB // ams // hmp1 // b1084 // ECK1069
CPLX0-3281	50.0	rnc // ranA // b2567 // ECK2565
EG10860-MONOMER	17.597 // 17.0	rnhA // cer // sin // dasF // herA // rnh // sdrA // b0214 // ECK0214
EG10861-MONOMER	21.526 // 23.0	rnhB // b0183 // ECK0182
CPLX0-1382		rnpB // b3123 // ECK3111 // rnpA // b3704 // ECK3696
G6425-MONOMER	30.413	ybiV // supH // b0822 // ECK0812
CHEZ-CPLX		cheZ // b1881 // ECK1882
G7408-MONOMER	20.78	yqaB // b2690 // ECK2685
EG11725-MONOMER	24.664	yieH // b3715 // ECK3708
G7211-MONOMER	17.208 // 18.0	sixA // yfcW // b2340 // ECK2334
EG11195-MONOMER	29.721	yidA // b3697 // ECK3689
G7187-MONOMER	23.007	hxpA // yfbT // b2293 // ECK2287
ALKAPHOSPHA-CPLX		phoA // psiA // b0383 // ECK0378
EG11850-MONOMER	22.732	yihX // b3885 // ECK3878
GLUCOSE-1-PHOSPHAT-CPLX	95.0	agp // b1002 // ECK0993
EG11202-MONOMER	27.122	yigB // b3812 // ECK3807
G6442-MONOMER	30.196	ybjI // b0844 // ECK0834
NADPPHOSPHAT-MONOMER		
F16B-CPLX	150.0	fbp // fdp // b4232 // ECK4227
CPLX0-303	80.0	glpX // b3925 // ECK3917
CPLX0-7776	76.0	yggF // yggK // b2930 // ECK2926
TREHALOSEPHOSPHASYN-MONOMER	29.175	otsB // otsP // b1897 // ECK1896
G7111-MONOMER	27.208	pphC // yegK // b2072 // ECK2066
GPH-MONOMER	27.389 // 27.0	gph // yhfE // b3385 // ECK3372
APHA-CPLX	101.0	aphA // yjbP // hobH // b4055 // ECK4047
EG10983-MONOMER	29.172 // 32.0	suhB // ssyA // b2533 // ECK2530
PGPPHOSPHAB-MONOMER	29.021 // 28.0	pgpB // b1278 // ECK1273
EG11371-MONOMER	24.439	pgpC // yfhB // b2560 // ECK2558
PGPPHOSPHAA-MONOMER	19.418	pgpA // yajN // b0418 // ECK0412
PSERPHOSPHA-MONOMER	35.043 // 35.0	serB // b4388 // ECK4380
KDO-8PPHOSPHAT-CPLX	89.0	kdsC // yrbJ // yrbI // b3198 // ECK3187
G7106-MONOMER	16.709	wzb // b2061 // ECK2055
G7011-MONOMER	25.274 // 25.0	pphA // yebX // prpA // b1838 // ECK1837
G6503-MONOMER	16.386	etp // yccY // b0982 // ECK0973
G7415-MONOMER	25.098 // 25.0	pphB // ygbH // prpB // b2734 // ECK2729
G6932-MONOMER	24.33	hxpB // yniC // b1727 // ECK1725
CPDB-MONOMER	70.832 // 67.0	cpdB // b4213 // ECK4209
G6634-MONOMER	32.58	yciV // trpH // b1266 // ECK1260
EG10043-MONOMER	27.176 // 28.0	cysQ // amt // amtA // b4214 // ECK4210
RIBAZOLEPHOSPHAT-MONOMER	23.308	cobC // phpB // b0638 // ECK0631
EG11239-MONOMER	30.201	ybhA // b0766 // ECK0755
EG11470-MONOMER	29.708	yigL // b3826 // ECK3820
EG11736-MONOMER	21.294 // 16.0	gmhB // yaeD // b0200 // ECK0200
CPLX0-7625	71.3	yfbR // b2291 // ECK2285
G7230-MONOMER	20.255	yfdR // b2361 // ECK2355
EG12115-MONOMER	25.301	yjjG // b4374 // ECK4365
EG11817-MONOMER	26.9	umpG // ygbC // surE // b2744 // ECK2739
EG10634-MONOMER	27.163	umpH // nagD // b0675 // ECK0663
USHA-MONOMER	60.824 // 52.0	ushA // b0480 // ECK0474
G7742-MONOMER	25.399	yrfG // b3399 // ECK3386
EG11095-MONOMER	22.961	acpH // yajB // b0404 // ECK0398
GLYCPDIESTER-PERI-CPLX	70.0	glpQ // b2239 // ECK2231
GLYCPDIESTER-CYTO-MONOMER	27.41 // 27.0	ugpQ // b3449 // ECK3433
EG12252-MONOMER	29.601	pdeH // yhjH // b3525 // ECK3510
CPLX0-8109		pdeL // yahA // b0315 // ECK0313
CPLX0-8200		pdeF // yfgF // b2503 // ECK2499
EG11938-MONOMER	60.801	pdeC // yjcC // b4061 // ECK4053
CPLX0-8199		dosP // yddU // dos // pdeO // b1489 // ECK1483
G6639-MONOMER	74.665	pdeR // yciR // gmr // b1285 // ECK1280
CPLX0-8555		pdeK // yhjK // b3529 // ECK3514
G7579-MONOMER	30.938 // 30.0	cpdA // icc // b3032 // ECK3023
CPLX0-7936	44.5	phnP // b4092 // ECK4085
EG12330-MONOMER	19.934 // 20.0	thpR // yadP // ligT // b0147 // ECK0146
DGTPTRIPHYDRO-CPLX	330.0	dgt // optA // b0160 // ECK0159
EG11955-MONOMER	73.151	yjcS // b4083 // ECK4076
SPOT-MONOMER	79.342 // 80.0	spoT // b3650 // ECK3640
CPLX0-7838	97.0	csdA // ygdJ // b2810 // ECK2806
G495-MONOMER	55.361	bglA // yqfC // bglD // b2901 // ECK2896
G7599-MONOMER	88.321	ygjK // b3080 // ECK3070
EG13236-MONOMER	100.015	mngB // ybgG // b0732 // ECK0720
EG10114-MONOMER	53.161	bglB // blgA // b3721 // ECK3714
ALPHA-AMYL-PERI-MONOMER	75.713 // 66.0	malS // b3571 // ECK3560
ALPHA-AMYL-CYTO-MONOMER	56.639 // 56.0	amyA // yedC // b1927 // ECK1926
BETAGALACTOSID-CPLX	540.0	lacZ // b0344 // ECK0341
EG11237-MONOMER	97.057	chiA // yheB // b3338 // ECK3325
G6310-MONOMER	17.972	rrrD // lycV // ybcS // b0555 // ECK0546
CPLX0-3901	530.0	yicI // b3656 // ECK3646
EG10381-MONOMER	73.577	glgX // b3431 // ECK3417
EG11843-MONOMER	77.275	yihQ // squQ // b3878 // ECK3871
MALTODEXGLUCOSID-MONOMER	69.041 // 65.0	malZ // b0403 // ECK0397
EG12013-MONOMER	83.46	bglX // glh // yohA // b2132 // ECK2125
ALPHAGALACTOSID-CPLX	100.0	melA // mel-7 // b4119 // ECK4112
TREHALAPERI-MONOMER	63.637 // 58.0	treA // osmA // tre // b1197 // ECK1185
TREHALACYTO-MONOMER	63.697 // 64.0	treF // b3519 // ECK3504
CPLX0-7662	260.0	uidA // gurA // gusA // b1617 // ECK1612
EG12258-MONOMER	41.7 // 40.0	bcsZ // bcsC // yhjM // b3531 // ECK3516
CPLX0-7712	39.0	gmm // nudD // wcaH // yefC // b2051 // ECK2045
G6567-MONOMER	37.595 // 38.0	nagZ // ycfO // b1107 // ECK1093
EG10085-MONOMER	53.935	ascB // sac // b2716 // ECK2711
CPLX0-7979	210.0	chbF // ydjD // celF // b1734 // ECK1732
TRE6PHYDRO-MONOMER	63.838 // 62.0	treC // treE // olgH // b4239 // ECK4234
G6471-MONOMER	47.656	ycaQ // alkZ // b0916 // ECK0907
EG10662-MONOMER	23.562 // 27.3	nth // b1633 // ECK1629
CPLX0-8262		ppnN // ygdH // b2795 // ECK2790
NMNNUCLEOSID-MONOMER		
EG10986-MONOMER	21.1	tag // tagA // b3549 // ECK3536
EG11222-MONOMER	31.393	alkA // aidA // b2068 // ECK2062
EG10329-MONOMER	30.29 // 31.0	mutM // fpg // b3635 // ECK3625
EG11058-MONOMER	25.693 // 24.9	ung // b2580 // ECK2578
EG12717-MONOMER	18.673	mug // ygjF // b3068 // ECK3058
EG11082-MONOMER	32.561	rihC // yaaF // b0030 // ECK0031
CPLX0-8280		rihA // ybeK // b0651 // ECK0644
CPLX0-7904	137.0	rihB // yeiK // b2162 // ECK2155
EG10627-MONOMER	39.149	mutY // micA // b2961 // ECK2956
AMP-NUCLEOSID-CPLX	280.0	amn // b1982 // ECK1977
NADNUCLEOSID-MONOMER		
CPLX0-1541	52.0	mtn // pfs // yadA // mtnN // b0159 // ECK0158
ENTB-CPLX		entB // entG // b0595 // ECK0588
CPLX0-8538		paaZ // ydbN // maoC // b1387 // ECK1384
CPLX0-3201		mepA // b2328 // ECK2322
EG12015-MONOMER	33.887 // 32.0	pbpG // yohB // b2134 // ECK2127
EG12867-MONOMER	41.849	ampH // yaiH // b0376 // ECK0371
G6474-MONOMER	20.354	mepK // ycbK // b0926 // ECK0917
EG10013-MONOMER	49.058	mepM // yebA // b1856 // ECK1857
G6892-MONOMER	29.917	mepH // ydhO // b1655 // ECK1651
G7147-MONOMER	21.04	mepS // yeiV // spr // b2175 // ECK2169
CPLX0-8290		ypdF // b2385 // ECK2381
EG10696-MONOMER	98.919	pepN // b0932 // ECK0923
G7247-MONOMER	37.409 // 38.0	ypdE // b2384 // ECK2380
EG10488-MONOMER	37.92	iap // b2753 // ECK2748
G7063-MONOMER	30.279	mtfA // yeeI // b1976 // ECK1972
EG10570-MONOMER	29.331 // 32.0	map // b0168 // ECK0166
CPLX0-8122	275.0	pepB // yfhI // b2523 // ECK2520
CPLX0-3041	80.0	pepT // b1127 // ECK1113
CPLX0-3081	200.0	pepP // b2908 // ECK2903
CPLX0-3061		pepA // carP // xerB // b4260 // ECK4253
CPLX0-3001	100.0	pepD // pepH // b0237 // ECK0238
EG11920-MONOMER	24.57	pepE // b4021 // ECK4013
G6782-MONOMER	21.213	ddpX // vanX // yddT // b1488 // ECK1482
CPLX0-8156		pepQ // b3847 // ECK3839
EG10212-MONOMER	77.516 // 78.0	dcp // b1538 // ECK1531
CPLX0-8545		dacB // b3182 // ECK3171
CPLX0-8254		dacC // b0839 // ECK0829
EG10606-MONOMER	70.857 // 66.0	mrdA // pbpA // b0635 // ECK0628
EG10341-MONOMER	63.877	ftsI // pbpB // sep // b0084 // ECK0085
RPOA-MONOMER	43.346 // 41.0	dacD // phsE // yeeC // b2010 // ECK2004
G7265-MONOMER	47.752	yfeW // b2430 // ECK2425
CPLX0-8252		dacA // pfv // b0632 // ECK0625
EG11253-MONOMER	67.812	ldtD // ycbB // b0925 // ECK0916
G6621-MONOMER	33.567 // 32.0	ldcA // ycgQ // b1192 // ECK1180
G7176-MONOMER	46.078	elaD // b2269 // ECK2263
CPLX0-7885		ggt // b3447 // ECK3431
CPLX0-3021	320.0	iadA // yjiF // b4328 // ECK4319
CPLX0-263	66.0	iaaA // spt // ybiK // b0828 // ECK0818
EG12436-MONOMER	49.071	rseP // ecfE // yaeL // b0176 // ECK0175
CPLX0-1163	820.0	hslU // clpY // htpI // b3931 // ECK3923 // hslV // yiiC // clpQ // htpO // b3932 // ECK3924
CPLX0-2941		sppA // b1766 // ECK1764
CPLX0-8187		degQ // hhoA // b3234 // ECK3223
CPLX0-8183		degS // hhoB // htrH // b3235 // ECK3224
EG10760-MONOMER	76.663 // 82.0	prc // tsp // b1830 // ECK1829
EG10397-MONOMER	31.307	glpG // b3424 // ECK3410
CPLX0-2921		degP // htrA // ptd // b0161 // ECK0160
G7311-MONOMER	53.908	bepA // yfgC // b2494 // ECK2490
CPLX0-2881		lon // capR // deg // dir // lopA // muc // b0439 // ECK0433
EG11004-MONOMER	79.49 // 80.0	ptrB // tlp // b1845 // ECK1846
EG10530-MONOMER	35.96 // 37.0	lepB // lep // b2568 // ECK2566
CPLX0-3101		clpP // lopP // b0437 // ECK0431
CPLX0-3107		clpP // lopP // b0437 // ECK0431 // clpX // lopC // b0438 // ECK0432
CPLX0-3104		clpP // lopP // b0437 // ECK0431 // clpA // lopD // b0882 // ECK0873
CPLX0-3108		clpP // lopP // b0437 // ECK0431 // clpA // lopD // b0882 // ECK0873 // clpX // lopC // b0438 // ECK0432
EG10548-MONOMER	18.156 // 18.0	lspA // lsp // b0027 // ECK0028
EG11359-MONOMER	24.957	gspO // hofD // hopD // hopO // yheC // b3335 // ECK3322
EG10673-MONOMER	35.562	ompT // b0565 // ECK0557
G7414-MONOMER	17.057 // 17.0	hycI // b2717 // ECK2712
CPLX0-8539		tldD // yhdO // b3244 // ECK3233 // tldE // mcb // pmbA // b4235 // ECK4230
EG11291-MONOMER	26.842 // 25.0	loiP // yggG // b2936 // ECK2931
CPLX0-2982		hflC // hflA // b4175 // ECK4171 // hflK // hslY // b4174 // ECK4170 // ftsH // std // hflB // mrsC // tolZ // b3178 // ECK3167
EG10786-MONOMER	107.708	ptrA // ptr // b2821 // ECK2817
EG11441-MONOMER	77.167 // 67.0	prlC // opdA // b3498 // ECK3483
G6530-MONOMER	77.413	pgaB // hmsF // ycdR // b1023 // ECK1013
CPLX0-7844	206.0	abgB // ydaI // b1337 // ECK1333 // abgA // ydaJ // b1338 // ECK1334
FORMYLTHFDEFORMYL-CPLX		purU // ychI // tgs // b1232 // ECK1227
EG12198-MONOMER	27.774	chbG // celG // ydjC // b1733 // ECK1731
UDPACYLGLCNACDEACETYL-MONOMER	33.956 // 33.96	lpxC // asmB // envA // b0096 // ECK0097
CPLX0-861	62.0	hchA // yzzC // yedU // b1967 // ECK1963
CPLX0-7960	52.0	yajL // thiJ // b0424 // ECK0418
G7647-MONOMER	18.858 // 20.0	yhbO // b3153 // ECK3141
G7513-MONOMER	11.905	yqfB // b2900 // ECK2895
ACETYLORNDEACET-CPLX		argE // b3957 // ECK3948
CPLX0-3161	72.0	dapE // msgB // b2472 // ECK2467
NICOTINAMID-MONOMER	23.362 // 30.0	pncA // nam // ydjB // b1768 // ECK1766
NAG6PDEACET-CPLX	165.0	nagA // b0677 // ECK0665
G6452-MONOMER	31.072	amiD // ybjR // b0867 // ECK0858
NACMURLALAAMI1-MONOMER	31.412	amiA // yfeE // b2435 // ECK2430
G7458-MONOMER	45.634	amiC // ygdN // b2817 // ECK2813
NACMURLALAAMI2-MONOMER	47.985	amiB // yjeD // b4169 // ECK4165
EG10041-MONOMER	20.536	ampD // b0110 // ECK0109
G6103-MONOMER	28.925	yafV // b0219 // ECK0220
ANSA-CPLX		ansA // b1767 // ECK1765
CPLX0-7694	148.8	glsA // ybaS // b0485 // ECK0479
ANSB-CPLX		ansB // b2957 // ECK2952
CPLX0-7695	74.9	glsB // yneH // b1524 // ECK1517
CPLXECOLI-7943	33.0	pncC // ygaD // b2700 // ECK2695
EG11440-MONOMER	19.328 // 23.0	def // fms // b3287 // ECK3273
CPLX0-3943	57.0	puuD // ycjL // b1298 // ECK1293
SUCCGLUDESUCC-MONOMER	35.8	astE // ydjS // b1744 // ECK1742
CPLX0-255		hyuA // ygeZ // b2873 // ECK2869
CPLX0-3961	50.0	hiuH // yedX // b1970 // ECK1966
DIHYDROOROT-CPLX	80.9	pyrC // b1062 // ECK1047
CPLX-64	230.0	allB // glxB3 // ybbX // b0512 // ECK0505
EG10040-MONOMER	41.556 // 29.0	ampC // ampA // b4150 // ECK4146
CPLX0-8249		pxpC // ybgK // b0712 // ECK0701 // pxpB // ybgJ // b0711 // ECK0700 // pxpA // ybgL // b0713 // ECK0702
AGMATIN-CPLX	80.0	speB // b2937 // ECK2932
CPLX0-7947		astB // ydjT // b1745 // ECK1743
G6284-MONOMER	28.73	allE // glxB6 // ylbA // ughY // b0515 // ECK0508
CPLX-7524		allC // glxB7 // ylbB // b0516 // ECK0509
CPLX0-901		tadA // yfhC // b2559 // ECK2557
CPLX0-7932		codA // b0337 // ECK0334
DCTP-DEAM-CPLX		dcd // dus // paxA // b2065 // ECK2059
FOLE-CPLX	250.0	folE // b2153 // ECK2146
HISTCYCLOPRATPPHOS	22.756	hisI // hisE // hisIE // b2026 // ECK2021
CPLX0-1683	120.0	adeD // adeC(B.s.) // adu // yicP // ade // b3665 // ECK3656
GTP-CYCLOHYDRO-II-CPLX	45.0	ribA // b1277 // ECK1272
CPLX0-7659		ribD // nusII // ribG // ybaE // b0414 // ECK0408
G7502-MONOMER	50.244	guaD // ygfP // b2883 // ECK2879
ADENODEAMIN-MONOMER	36.397 // 29.0	add // b1623 // ECK1618
CYTIDEAM-CPLX	54.0	cdd // b2143 // ECK2136
FOLD-CPLX	70.0	folD // ads // b0529 // ECK0522
G7634-MONOMER	41.783 // 46.0	agaS // yraB // b3136 // ECK3124
GLUCOSAMINE-6-P-DEAMIN-CPLX		nagB // glmD // b0678 // ECK0666
CPLX-722	90.0	appA // b0980 // ECK0971
G7319-MONOMER	55.036	der // engA // yfgK // b2511 // ECK2507
EG11445-MONOMER	36.704 // 37.0	argK // ygfD // b2918 // ECK2914
DIHYDRONEOPTERIN-MONO-P-DEPHOS-MONOMER		
EG10529-MONOMER	66.57 // 74.0	lepA // b2569 // ECK2567
EG10829-MONOMER	76.43	recG // radC // spoV // b3652 // ECK3642
EG10942-MONOMER	68.867	selB // fdhA // b3590 // ECK3579
G7841-MONOMER	39.193	rsgA // yjeQ // b4161 // ECK4157
EG10021-MONOMER	35.66 // 30.0	yjiA // b4352 // ECK4342
EG10270-MONOMER	33.81 // 36.0	era // rbaA // sdgE // b2566 // ECK2564
EG10437-MONOMER	48.327 // 50.0	hflX // hslX // hflA // b4173 // ECK4169
G6246-MONOMER	30.371	cof // b0446 // ECK0440
EG12104-MONOMER	36.113	yeiR // b2173 // ECK2167
EG10484-MONOMER	31.565	hypB // hydB // b2727 // ECK2722
G7459-MONOMER	20.795	rppH // ygdP // nudH // b2830 // ECK2826
CPLX0-3971	60.0	nudK // yffH // b2467 // ECK2462
CPLX0-243	120.0	ppa // b4226 // ECK4222
PPX-CPLX	120.0	ppx // b2502 // ECK2498
EG11404-MONOMER	39.667	ychF // gtp1 // b1203 // ECK1191
EG12045-MONOMER	66.413	radD // yejJ // yejI // yejH // b2184 // ECK2178
CPLX0-3721		nudF // trgB // aspP // yqiE // b3034 // ECK3025
CPLX0-1221	43.0	nudE // yrfE // b3397 // ECK3384
CPLX0-7974	60.0	nudC // yjaD // b3996 // ECK3988
DUTP-PYROP-CPLX	46.0	dut // dnaS // sof // b3640 // ECK3630
EG11603-MONOMER	48.389	ygiF // b3054 // ECK3044
CDPDIGLYPYPHOSPHA-MONOMER	28.451 // 27.0	cdh // b3918 // ECK3910
EG11665-MONOMER	29.759	bacA // uppP // b3057 // ECK3047
G6439-MONOMER	22.399	ybjG // b0841 // ECK0831
PPPGPPHYDRO-CPLX	100.0	gpp // gppA // b3779 // ECK3771
EG10048-MONOMER	31.297 // 33.0	apaH // cfcB // b0049 // ECK0050
G6580-MONOMER	17.433	nudJ // ymfB // b1134 // ECK1120
EG12666-MONOMER	26.894	lpxH // ybbF // b0524 // ECK0517
G6954-MONOMER	15.046 // 15.0	nudG // ynjG // orf135 // b1759 // ECK1757
EG10626-MONOMER	14.927	mutT // nudA // b0099 // ECK0100
EG10722-MONOMER	42.01	phnM // b4095 // ECK4088
CPLX0-7826	40.0	rdgB // yggV // b2954 // ECK2949
CPLX0-7692		mazG // b2781 // ECK2775
H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER	17.306 // 17.0	nudB // yebD // ntpA // b1865 // ECK1866
G7164-MONOMER	16.371	nudI // yfaO // b2251 // ECK2244
G6502-MONOMER	10.3	yccX // b0968 // ECK0959
CPLX0-3948		yjjX // b4394 // ECK4386
G6468-MONOMER	65.652	ycaO // b0905 // ECK0896
CPLX0-8106		yhdE // b3248 // ECK3236
EG12130-MONOMER	65.652 // 62.0	hscA // hsc // b2526 // ECK2523
CPLX0-3927	310.0	ravA // yieN // b3746 // ECK3740
CPLX0-3934		groL // groEL // mopA // b4143 // ECK4137 // groS // groES // mopB // b4142 // ECK4136
CPLX0-7950	62.0	mhpC // b0349 // ECK0346
CPLX0-7755	27.4	hinT // ycfF // b1103 // ECK1089
CPLX0-254		scpB // ygfG // b2919 // ECK2915
CPLX0-2901		panD // b0131 // ECK0130
GLUTDECARBOXB-CPLX		gadB // b1493 // ECK1487
GLUTDECARBOXA-CPLX		gadA // gadS // b3517 // ECK3502
ORNDECARBOXDEG-CPLX	160.0	speF // b0693 // ECK0681
ORNDECARBOX-BIO-CPLX	146.0	speC // b2965 // ECK2960
LYSDECARBOX-CPLX	600.0	cadA // ldcI // b4131 // ECK4125
LDC2-CPLX	800.0	ldcC // ldc // ldcH // b0186 // ECK0185
ARGDECARBOXDEG-CPLX		adiA // adi // b4117 // ECK4110
ARGDECARBOXBIO-CPLX	300.0	speA // b2938 // ECK2933
DIAMINOPIMDECARB-CPLX		lysA // b2838 // ECK2836
OROTPDECARB-CPLX	54.0	pyrF // b1281 // ECK1276
PEPCARBOX-CPLX		ppc // asp // glu // b3956 // ECK3947
UROGENDECARBOX-MONOMER	39.248	hemE // b3997 // ECK3989
GLYOCARBOLIG-CPLX	145.0	gcl // b0507 // ECK0500
PRAI-IGPS	49.492 // 45.0	trpC // trpF // trpCF // b1262 // ECK1256
PEPCARBOXYKIN-MONOMER	59.643 // 55.0	pck // pckA // b3403 // ECK3390
SAMDECARB-CPLX	136.0	speD // b0120 // ECK0119
PHOSPHASERDECARB-DIMER		psd // b4160 // ECK4156
CPLX0-7878	230.0	oxc // yfdU // b2373 // ECK2369
CPLX0-7744		ulaD // yjfV // sgaH // b4196 // ECK4192
